VIN,Error Code,Error Text,Vehicle Descriptor,Destination Market,Make,Manufacturer Name,Model,Model Year,Plant City,Series,Trim,Vehicle Type,Plant Country,Plant Company Name,Plant State,Body Class,Doors,Gross Vehicle Weight Rating From,Trailer Type Connection,Trailer Body Type,Custom Motorcycle Type,Motorcycle Suspension Type,Motorcycle Chassis Type,Bus Floor Configuration Type,Bus Type,Drive Type,Brake System Type,Engine Number of Cylinders,Displacement (CC),Displacement (CI),Displacement (L),Fuel Type - Primary,Engine Configuration,Other Engine Info,Turbo,Seat Belt Type,Front Air Bag Locations,Side Air Bag Locations,Tire Pressure Monitoring System (TPMS) Type,Wheel Base (inches) From,Gross Vehicle Weight Rating To,Bed Type,Cab Type,Number of Wheels,Wheel Size Front (inches),Wheel Size Rear (inches),Steering Location,Number of Seats,Number of Seat Rows,Transmission Style,Axles,Battery Voltage (Volts) From,Engine Model,Fuel Type - Secondary,Engine Brake (hp) From,Electrification Level,Engine Manufacturer,Knee Air Bag Locations,Anti-lock Braking System (ABS),Electronic Stability Control (ESC),Traction Control,Auto-Reverse System for Windows and Sunroofs,Automatic Pedestrian Alerting Sound (for Hybrid and EV only),Keyless Ignition,Adaptive Cruise Control (ACC),Crash Imminent Braking (CIB),Forward Collision Warning (FCW),Dynamic Brake Support (DBS),Pedestrian Automatic Emergency Braking (PAEB),Blind Spot Warning (BSW),Lane Departure Warning (LDW),Lane Keeping Assistance (LKA),Backup Camera,Rear Cross Traffic Alert,Automatic Crash Notification (ACN) / Advanced Automatic Crash Notification (AACN),Daytime Running Light (DRL),Headlamp Light Source,Semiautomatic Headlamp Beam Switching,Base Price ($),Fuel Delivery / Fuel Injection Type,Top Speed (MPH),Transmission Speeds,Valve Train Design,Curtain Air Bag Locations,Other Restraint System Info,Active Safety System Note,Series2,Rear Automatic Emergency Braking,Brake System Description,Blind Spot Intervention (BSI),Lane Centering Assistance,Note,Pretensioner,Trim2,Seat Cushion Air Bag Locations,Adaptive Driving Beam (ADB),Engine Stroke Cycles,Event Data Recorder (EDR),Cooling Type,Parking Assist,Windows,Additional Error Text,Engine Brake (hp) To,Wheel Base Type,Entertainment System,SAE Automation Level From,Battery Type,Wheel Base (inches) To,Battery Energy (kWh) From,Number of Battery Packs per Vehicle,EV Drive Unit,Track Width (inches),Curb Weight (pounds),Suggested VIN,Other Battery Info,Charger Power (kW)
3N1AB7AP6KY305887,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3N1AB7AP*KY,,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Sentra,2019,AGUASCALIENTES,,,PASSENGER CAR,MEXICO,"Nissan Mexicana, S.A. de C.V.",AGUASCALIENTES,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,1800.0,109.84273937051,1.8,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"Driver and passenger frontal air bags, 3-point manual belts, side air bags, and curtain side air bags  2nd row outboard 3-point manual belts and curtain side air bags  2nd row center 3-point manual belts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNDNB4H30P6198107,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KNDNB4H3*P6,,KIA,KIA CORPORATION,Carnival,2023,,,"LX, LX Seat Package",MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,Gwangmyeong Plant,,Minivan,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,6,3500.0,213.58310433156,3.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,3,Automatic,,,GDI LAMDA III,,290,,,Driver Seat Only,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,LED,Standard,,,,8,Dual Overhead Cam (DOHC),1st and 2nd and 3rd Rows,Seat Belt: All seating positions,,Wagon Body Type,Optional,,Standard,Standard,LX: 7 Seats / LX Seat Package: 8 Seats,,,,,,Standard,,,,,,,,,,,,,,,,,,
WAUBFAFL2CN005994,0,0 - VIN decoded clean. Check Digit (9th position) is correct,WAUBFAFL*CN,,AUDI,AUDI AG,A4,2012,NECKARSULM,,quattro Premium,PASSENGER CAR,GERMANY,,,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,1984,121.071108283,1.984000,Gasoline,,50-St/Can. BIN 5 / ULEV II emission std.Emissions Certification Test Group: CADXJ02.03UB,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,Automatic,,,,,211.00,,Audi,,,,,,,,,,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),"Active Seat Belt, Advanced Front AirBag",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1FMRU17L31LA87311,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1FMRU17L*1L,,FORD,FORD MOTOR COMPANY,Expedition,2001,WAYNE,,Eddie Bauer,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Michigan Truck,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,Hydraulic,8,5400.0,329.52821811155,5.4,Gasoline,V-Shaped,EFI  Windsor Engine Plant,,Manual,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,235,,Ford,,,,,,,,,,,,,,,,,,,,,,,,,,Single Overhead Cam (SOHC),,,,,,,,,,,,,,,,,,,,260,,,,,,,,,,,,,
JN1BJ1CWXLW369741,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JN1BJ1CW*LW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue Sport,2020,"KYUSHU PLANT, MIYAKO-GUN",,,PASSENGER CAR,JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,Hatchback/Liftback/Notchback,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,2000.0,122.04748818946,2.0,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"3-Point Manual Belts, 2nd row outboard 3-Point Manual Belts, 2nd row center 3-Point Manual Belts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1N4BL4BV9LC135227,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1N4BL4BV*LC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Altima,2020,SMYRNA,,S,PASSENGER CAR,UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"3-Point Manual Belts, 2nd row outboard 3-Point Manual Belts, 2nd row center 3-Point Manual Belts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N1AT2MV3GC760148,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1AT2MV*GC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Rogue,2016,SMYRNA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Crossover Utility Vehicle (CUV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,2nd row outboard and center 3-point manual belts,,Wagon body style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C4RDJDGXKC795519,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1C4RDJDG*KC,,DODGE,FCA US LLC,Durango,2019,DETROIT,,GT,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Jefferson North Assembly,MICHIGAN,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),All Rows,Direct,119.80,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,4,20,20,Left-Hand Drive (LHD),7,3,Automatic,2,,,,295,,FCA,,Standard,Standard,Standard,Standard,,Standard,Optional,Optional,Optional,Standard,,Optional,Optional,Optional,Standard,,,Standard,,Standard,,,,8,,,Active Belts,,,,,,,,,,,Optional,,,,,,,,,CD + Stereo,,,,,,,,,,,
5UXKR0C52G0S90370,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5UXKR0C5*G0,,BMW,BMW MANUFACTURER CORPORATION / BMW NORTH AMERICA,X5,2016,GREER,,xDrive35i,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,SOUTH CAROLINA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,6,2979.1682352,181.8,3,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,,,,,,,,300,,,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,Pretensioners for Driver and Front Passenger.,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
5TDJZRFH9KS584779,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5TDJZRFH*KS,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, INDIANA, INC.",Highlander,2019,PRINCETON,ASU50L/GSU50L/GSU55L/GVU58L,SE/XLE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),"Toyota Motor Manufacturing, Indiana, Inc.",INDIANA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,6,3500.0,213.58310433156,3.5,Gasoline,V-Shaped,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,109.80,,,,4,,,Left-Hand Drive (LHD),,3,Automatic,2,,2GR-FKS,,295,,,Driver Seat Only,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,,,Standard,,Standard,,,,8,,All Rows,,Blind Spot Detection - Standard: LE Plus,Wagon body style,,,,,"Highlander LE, LE Plus, XLE, SE, Limited",,M Grade,Passenger Seat Only,,,,,,,,,,CD + Stereo,,,,,,,,,,,
5UXKT0C56J0W02800,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5UXKT0C5*J0,,BMW,BMW MANUFACTURER CORPORATION / BMW NORTH AMERICA,X5,2018,GREER,,xDrive40e,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,SOUTH CAROLINA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,1995.9443952,121.8,2,Electric,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,115.50,,,,4,19,19,Left-Hand Drive (LHD),5,2,Automatic,2,,,Gasoline,308,PHEV (Plug-in Hybrid Electric Vehicle),,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,,,,Standard,,,,,Standard,,Standard,Standard,,Standard,63750.00,,130,8,,1st and 2nd Rows,Pretensioners for Driver and Front Passenger.,Park Distance Control Front and Rear Parking Sensors: Standard,,,,,,,Yes,,,Optional,,,,,,,,,,,,,,,,,,,,
JN8AT2MVXHW004227,0,0 - VIN decoded clean. Check Digit (9th position) is correct,JN8AT2MV*HW,,NISSAN,"NISSAN MOTOR COMPANY, LTD",Rogue,2017,"KYUSHU PLANT, MIYAKO-GUN",,,MULTIPURPOSE PASSENGER VEHICLE (MPV),JAPAN,"Nissan Motor Kyushu Co., Ltd.",FUKUOKA,Crossover Utility Vehicle (CUV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2500.0,152.55936023683,2.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,106.50,,,,4,,,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,,,170,,,,Standard,Standard,Standard,Standard,,,,,,Standard,,,,,Standard,,,Standard,,Standard,,,,,,1st and 2nd Rows,2nd row outboard and center 3-point manual belts,,Wagon body style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDBHA22E5TF468469,0,0 - VIN decoded clean. Check Digit (9th position) is correct,WDBHA22E*TF,,MERCEDES-BENZ,MERCEDES-BENZ CARS,C-Class,1996,BREMEN,,C220 202,PASSENGER CAR,GERMANY,,BREMEN,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,4,2200.0,134.25223700841,2.2,Gasoline,In-Line,,,Manual,1st Row (Driver and Passenger),,,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,147,,Mercedes-Benz,1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,,,,,,,Type-2 Belt with ETR: Emergency Tensioning Retractors for Driver and Passenger. Rear Belts: Type-2 Belts with a lap belt in the center seat.  (Line: 202),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5NMS3DA15PH017868,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5NMS3DA1*PH,,HYUNDAI,HYUNDAI MOTOR MANUFACTURING ALABAMA LLC (HMMA),Santa Fe,2023,MONTGOMERY,,SEL Premium,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),HMMA,ALABAMA,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,1600.0,97.63799055157,1.6,Gasoline,,,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,,,,,,,,5,2,Automatic,,270,T-GDI Gamma II,Electric,177.2,HEV (Hybrid Electric Vehicle) - Level Unknown,HMC,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,LED,Standard,,,,6,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belt: All Positions,,Wagon Body Style,Optional,,Standard,,,,,,,,Standard,,,,,,,,,Lithium-Ion/Li-Ion,,,,,,,,"Li-ion Polymer, 5.5Ah / Motor: PMSM 44.2kW",44
KM8J3CA48MU393402,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KM8J3CA4*MU,,HYUNDAI,HYUNDAI MOTOR CO,Tucson,2021,ULSAN,,"Value, SEL, Sport, Limited, Ultimate",MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,4,2000,122.0474881894,2,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,105.10,,,,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,GDI Nu,,161.00,,HMC,,Standard,Standard,,Standard,,,,,Standard,,,,Standard,Standard,Standard,,,,,,,,,6,Dual Overhead Cam (DOHC),1st and 2nd Rows,Seat Belt: All Positions,,Wagon Body type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1HGCV1F12LA017466,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1HGCV1F1*LA,,HONDA,"AMERICAN HONDA MOTOR CO., INC.",Accord,2020,MARYSVILLE,,LX,PASSENGER CAR,UNITED STATES (USA),,OHIO,Sedan/Saloon,4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,1500.0,91.53561614209,1.5,Gasoline,In-Line,Direct Fuel Injection,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,111.40,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,17,17,Left-Hand Drive (LHD),5,2,Continuously Variable Transmission (CVT),2,,L15BE,,192,,HONDA,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,,,Standard,LED,Standard,,,,,Dual Overhead Cam (DOHC),All Rows,,,,,,,,,,,,,4,,Water,,,,,,,,,,,,,,,,,
KL77LKEP3SC110482,0,0 - VIN decoded clean. Check Digit (9th position) is correct,KL77LKEP*SC,,CHEVROLET,GENERAL MOTORS LLC,Trax,2025,CHANGWON,,Activ,MULTIPURPOSE PASSENGER VEHICLE (MPV),SOUTH KOREA,,GYEONGSANGNAM-DO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,FWD/Front-Wheel Drive,Hydraulic,3,1200.0,73.22849291367,1.2,Gasoline,,"L3, DI, DVCP, E15-E85, GEN 1",Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,LBP,,,,,,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,Standard,Standard,Standard,Optional,Standard,Standard,Standard,Optional,Standard,Standard,LED,Standard,,,,,Dual Overhead Cam (DOHC),All Rows,AY0 - Active Manual Belts,,,Standard,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,
3N1AB7AP6KY325878,0,0 - VIN decoded clean. Check Digit (9th position) is correct,3N1AB7AP*KY,,NISSAN,"NISSAN MEXICANA, S.A. DE C.V.",Sentra,2019,AGUASCALIENTES,,,PASSENGER CAR,MEXICO,"Nissan Mexicana, S.A. de C.V.",AGUASCALIENTES,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,,1800.0,109.84273937051,1.8,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd Rows,"Driver and passenger frontal air bags, 3-point manual belts, side air bags, and curtain side air bags  2nd row outboard 3-point manual belts and curtain side air bags  2nd row center 3-point manual belts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5N1DR2MM8KC614436,0,0 - VIN decoded clean. Check Digit (9th position) is correct,5N1DR2MM*KC,,NISSAN,"NISSAN NORTH AMERICA, INC.",Pathfinder,2019,SMYRNA,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Nissan North America Inc.,TENNESSEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,,,3500.0,213.58310433156,3.5,Gasoline,,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),,,,,,,,,,,,,,,,,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,1st and 2nd and 3rd Rows,"Driver and passenger frontal air bags, 3-point manual belts, side air bags, and curtain side air bags  2nd row outboard 3-point manual belts and curtain side air bags, 2nd row center 3-point manual belts  3rd row outboard 3-point manual belts and curtain side air bags",,Wagon body style,,,,,Crossover,,,,,,,,,,,,,,,,,,,,,,,,
WDCGG8HBXBF606012,0,0 - VIN decoded clean. Check Digit (9th position) is correct,WDCGG8HB*BF,,MERCEDES-BENZ,MERCEDES-BENZ CARS,GLK-Class,2011,BREMEN,,GLK350 4-MATIC,MULTIPURPOSE PASSENGER VEHICLE (MPV),GERMANY,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,6,3500.0,213.58310433156,3.5,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st and 2nd Rows,Direct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating positions are equipped with load limiters and pretensioners.,,,,,,,Some of the decoding information provided may vary for non-U.S. market vehicles.,Yes,,,,,,,,,,,,,,,,,,,,,,,
1V2LC2CA6PC204569,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1V2LC2CA*PC,,VOLKSWAGEN,"VOLKSWAGEN GROUP OF AMERICA, INC.",Atlas,2023,CHATTANOOGA,,4Motion SE,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),,TENNESSEE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,AWD/All-Wheel Drive,,4,2000.0,122.04748818946,2.0,Gasoline,,Test Group: PVGAT02.0VAA / Emis. Std.: Tier 3 BIN 125 LEV3 ULEV125,Yes,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Indirect,,,,,,,,,,,Automatic,,,2.0 TSI,,235,,Volkswagen,,Standard,Standard,Standard,Standard,,Standard,,Standard,Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,LED,,,,,8,,All Rows,Seat Belt: All Positions / Active-Dr/Pass & Advanced Front Airbags,,,Standard,,Standard,,,,,,,,Standard,,,,,,,,,,,,,,,,,,
4T1B11HK2JU048154,0,0 - VIN decoded clean. Check Digit (9th position) is correct,4T1B11HK*JU,,TOYOTA,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Camry,2018,GEORGETOWN,AXVA70L/GSV70L/AXVH70L/AXVH71L,L/LE/SE/XLE,PASSENGER CAR,UNITED STATES (USA),"Toyota Motor Manufacturing, Kentucky, Inc.",KENTUCKY,Sedan/Saloon,4,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4x2,,4,2487,152,2.5,Gasoline,In-Line,PORT+DIRECT,,Manual,1st Row (Driver and Passenger),All Rows,Direct,111.20,"Class 1: 6,000 lb or less (2,722 kg or less)",Not Applicable,Not Applicable,4,,,Left-Hand Drive (LHD),5,2,Automatic,2,,A25A-FKS,,203,,Toyota,1st Row (Driver and Passenger),Standard,Standard,Standard,Standard,,,Standard,Standard,Standard,Standard,Standard,,Standard,Standard,Standard,,,Standard,,Standard,23645.00,,133,8,Dual Overhead Cam (DOHC),All Rows,,"Blind Spot Detection: Optional for LE and SE trims, Standard for XLE, XLE V6, XSE, XSE V6 trims; Automatic Crash Notification: Optional for LE, XLE, SE, XSE trims, Standard for XLE V6 and XSE V6 trims",,,Calipers / Front Vented Discs,,,,Yes,,,Standard,4,,,,,,,Standard,,,,,,1,,,,,,
1C4HJXEG9KW529204,0,0 - VIN decoded clean. Check Digit (9th position) is correct,1C4HJXEG*KW,,JEEP,FCA US LLC,Wrangler,2019,TOLEDO,,Unlimited Sahara,MULTIPURPOSE PASSENGER VEHICLE (MPV),UNITED STATES (USA),Toledo North Assembly,OHIO,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4WD/4-Wheel Drive/4x4,Hydraulic,6,3600.0,219.68547874103,3.6,Gasoline,V-Shaped,,,Manual,1st Row (Driver and Passenger),1st Row (Driver and Passenger),Direct,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,Left-Hand Drive (LHD),,,,,,,,285,,FCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Belts,,Open Body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
